id,zh,ru,repair,reson
汇集诸子百家精髓的珍贵文献，融儒、道、法各家智慧。研读后降低与大儒辩经难度，提升学术交流效率，使你于论道中从容自若。  ,汇集诸子百家精髓的珍贵文献，融儒、道、法各家智慧。研读后降低与大儒辩经难度，提升学术交流效率，使你于论道中从容自若。,"Драгоценный трактат, объединяющий мудрость всех философских школ - конфуцианства, даосизма и легизма. Изучение снижает сложность диспутов с учёными мужами, повышает эффективность академических дискуссий, позволяя вам с лёгкостью вести философские беседы.",,
珍品礼盒,珍品礼盒,Редкая шкатулка,,
精心备制的礼盒，内含稀珍之物与精美佳品。赠予后可提升目标派系15点好感，适合政治献礼，巩固派系关系。  ,精心备制的礼盒，内含稀珍之物与精美佳品。赠予后可提升目标派系15点好感，适合政治献礼，巩固派系关系。  ,"Тщательно подготовленный подарочный набор, содержащий редкие и изысканные предметы. При вручении повышает благосклонность целевой фракции на 15 очков, идеально подходит для политических подношений и укрепления отношений между фракциями.",,
迷魂木筒,迷魂木筒,Деревянный сосуд с дурманящим ароматом,,
黄麻药囊,黄麻药囊,Жёлтый мешочек с коноплёй,,
饥蛊骨签,饥蛊骨签,Голодные кости,,
市井秘闻,市井秘闻,Городские слухи,,
购买“市井秘闻”后，即刻获悉道具商人无意中听闻的徐州194年丹阳派、士族派或豪族派的传闻，以及手下官员的琐事秘闻，自动解锁相关剧情线索。次日，商人将带来“市井秘闻·续”和“市井秘闻·终”，可进一步揭露更深的派系动态。,购买“市井秘闻”后，即刻获悉道具商人无意中听闻的徐州194年丹阳派、士族派或豪族派的传闻，以及手下官员的琐事秘闻，自动解锁相关剧情线索。次日，商人将带来“市井秘闻·续”和“市井秘闻·终”，可进一步揭露更深的派系动态。,"После покупки ""Городских слухов"" вы сразу узнаете слухи о фракциях Даньяна, знати или богатых кланов в Сюйчжоу 194 года, услышанные торговцами, а также секретные сплетни о подчинённых чиновниках, автоматически открывая связанные сюжетные подсказки. На следующий день торговец принесёт ""Городские слухи: Продолжение"" и ""Городские слухи: Финал"", раскрывая более глубокие фракционные интриги.",,
市井秘闻_续,市井秘闻_续,Городские слухи_продолжение,,
购买“市井秘闻-续”后，即刻获悉道具商人无意中听闻的徐州194年丹阳派、士族派或豪族派的传闻，以及手下官员的琐事秘闻，自动解锁相关剧情线索。次日，商人将带来“市井秘闻·终”，可进一步揭露更深的派系动态。,购买“市井秘闻-续”后，即刻获悉道具商人无意中听闻的徐州194年丹阳派、士族派或豪族派的传闻，以及手下官员的琐事秘闻，自动解锁相关剧情线索。次日，商人将带来“市井秘闻·终”，可进一步揭露更深的派系动态。,"После покупки ""Городских слухов - продолжение"" вы сразу узнаете слухи о фракциях Даньян, знати или богатых кланов в Сюйчжоу 194 года, которые случайно услышал торговец, а также секретные сплетни о ваших чиновниках, автоматически открывая соответствующие сюжетные подсказки. На следующий день торговец принесет ""Городские слухи - финал"", что позволит раскрыть более глубокую динамику между фракциями.",,
市井秘闻_终,市井秘闻_终,Городские слухи_Финал,,
购买“市井秘闻”后，即刻获悉道具商人无意中听闻的徐州194年丹阳派、士族派或豪族派的传闻，以及手下官员的琐事秘闻，自动解锁相关剧情线索。次日，商人将带来“市井秘闻·续”和“市井秘闻·终”，可进一步揭露更深的派系动态。,购买“市井秘闻”后，即刻获悉道具商人无意中听闻的徐州194年丹阳派、士族派或豪族派的传闻，以及手下官员的琐事秘闻，自动解锁相关剧情线索。次日，商人将带来“市井秘闻·续”和“市井秘闻·终”，可进一步揭露更深的派系动态。,"После покупки ""Городских слухов"" вы сразу узнаете слухи о фракциях Даньяна, знати или богатых кланов в Сюйчжоу 194 года, услышанные торговцами, а также секретные сплетни о подчинённых чиновниках, автоматически открывая связанные сюжетные подсказки. На следующий день торговец принесёт ""Городские слухи: Продолжение"" и ""Городские слухи: Финал"", раскрывая более глубокие фракционные интриги.",,
血姬傀儡,血姬傀儡,Кровавая кукла,,
特殊道具，佩戴后最大体力上升20点，虽然血姬已逝，但意念化作的傀儡象征她对你的的“爱”,特殊道具，佩戴后最大体力上升20点，虽然血姬已逝，但意念化作的傀儡象征她对你的的“爱”,"Особый предмет, при ношении увеличивает максимальное здоровье на 20 очков. Хотя Кровавая Принцесса ушла, её воля воплотилась в марионетке, символизирующей её ""любовь"" к вам.",,
陶谦血袖,陶谦血袖,Кровавый рукав Тао Цяня,,
特殊道具，陶谦的嘱托和信物，希望你能遵守并照顾他的后人，持有后镇压消耗减半,特殊道具，陶谦的嘱托和信物，希望你能遵守并照顾他的后人，持有后镇压消耗减半,"Особый предмет: завещание и реликвия Тао Цяня. Он надеется, что вы выполните его просьбу и позаботитесь о его потомках. При наличии этого предмета затраты на подавление сокращаются вдвое.",,
雌雄双股剑,雌雄双股剑,Меч Сюнсюн,,
精工锻造的一对宝剑，一长一短，寓意阴阳和谐。佩之可提升持剑者全方面才干与气运。  ,精工锻造的一对宝剑，一长一短，寓意阴阳和谐。佩之可提升持剑者全方面才干与气运。,"Пара искусно выкованных мечей, длинный и короткий, символизирующих гармонию инь и ян. Ношение их повышает всесторонние способности и удачу владельца.",,
青龙偃月刀,青龙偃月刀,Глефа Цин Лун Янь Юэ,,
专为关羽打造的传奇宝刀，象征勇猛与忠义。持之提升关羽军事胜率额外8%，令其战场上所向披靡。  ,专为关羽打造的传奇宝刀，象征勇猛与忠义。持之提升关羽军事胜率额外8%，令其战场上所向披靡。,"Легендарный меч, созданный специально для Гуань Юя, символизирующий доблесть и преданность. Увеличивает шанс победы Гуань Юя в сражениях на дополнительные 8%, делая его непобедимым на поле боя.",,
丈八蛇矛,丈八蛇矛,Восьмифутовое копьё-змея,,
为张飞特制的长弯奇矛，象征勇力无双。提升张飞军事胜率6%，使其战场威震四方。  ,为张飞特制的长弯奇矛，象征勇力无双。提升张飞军事胜率6%，使其战场威震四方。,"Особый изогнутый копьё, созданное специально для Чжан Фэя, символизирует непревзойдённую силу и доблесть. Увеличивает шанс победы Чжан Фэя в сражениях на 6%, вселяя ужас в сердца врагов.",,
龙胆亮银枪,龙胆亮银枪,Драконья отвага и серебряное копьё,,
专为赵云打造的长枪，象征着他一身的胆。持之提升赵云军事胜率额外10%，令其战场上进退自如。  ,专为无名之辈打造的长枪，象征着纯粹的勇武。持之提升军事胜率额外 10%，令持有者在战场上进退自如。 ,"Копье, созданное специально для безымянных, символизирующее бесстрашие. Увеличивает шанс победы в битвах на дополнительные 10%, позволяя своему владельцу свободно действовать на поле боя. ",,
洞察之镜,洞察之镜,Зеркало проницательности,,
装备“洞察之镜”后，将鼠标悬停于政策上，可显示该政策的具体效果与潜在影响，避免被手下官员的模糊说辞蒙蔽；悬停于行动选项上时，可揭示该行动的体力消耗值，帮助主公更精准地规划政务。,装备“洞察之镜”后，将鼠标悬停于政策上，可显示该政策的具体效果与潜在影响，避免被手下官员的模糊说辞蒙蔽；悬停于行动选项上时，可揭示该行动的体力消耗值，帮助主公更精准地规划政务。,"После экипировки ""Зеркала Проницательности"" при наведении курсора на политику будет отображаться её конкретный эффект и потенциальное влияние, что позволит избежать обмана со стороны чиновников. При наведении на варианты действий будет показано затрачиваемое значение выносливости, помогая правителю точнее планировать государственные дела.",,
獬豸圣像,獬豸圣像,Статуя Сячжи,,
论语简注,论语简注,"Краткие заметки о ""Лунь Юй",,
此乃郑玄手录《论语》要义，这本书可以提升50% 民生政策 效果,此乃郑玄手录《论语》要义，这本书可以提升50% 民生政策 效果,"Это рукописный конспект ""Лунь Юя"" Чжэн Сюаня. Эта книга увеличивает эффективность политики народного благосостояния на 50%.",,
礼记笺疏,礼记笺疏,Лицзи Цзяньшу,,
《礼记笺疏》是郑玄在对《礼记》进行深刻解读后所编纂的注解，它详细讲解了儒家礼教中的重要细节，增加百分之50与其它派系沟通的效果,《礼记笺疏》是郑玄在对《礼记》进行深刻解读后所编纂的注解，它详细讲解了儒家礼教中的重要细节，增加百分之50与其它派系沟通的效果,"«Лицзи Цзяньшу» — это комментарии Чжэн Сюаня к классическому трактату «Лицзи», содержащие глубокий анализ конфуцианских ритуалов. Увеличивает эффективность общения с другими фракциями на 50%.",,
治国箴言,治国箴言,Советы по управлению государством,,
上策-以商代赈,上策-以商代赈,Верхний план - торговля вместо помощи,,
"将给与商人更多指示性目标,用行政命令迫使商业协助完成粮食问题，军队好感上升，但商业具有不稳定性，获得一笔不定额的钱","将给与商人更多指示性目标,用行政命令迫使商业协助完成粮食问题，军队好感上升，但商业具有不稳定性，获得一笔不定额的钱","Даст торговцам более конкретные цели, используя административные приказы для принуждения торговли к решению продовольственной проблемы. Улучшит отношение армии, но торговля станет нестабильной. Получите случайную сумму денег.",,
中策-军粮自给,中策-军粮自给,Средняя стратегия - самообеспечение провиантом,,
维持现状，继续让军队自行解决粮食问题，丹阳派好感小幅度下跌，因为政策不变可能会获得一笔因为政策惯性的收益,维持现状，继续让军队自行解决粮食问题，丹阳派好感小幅度下跌，因为政策不变可能会获得一笔因为政策惯性的收益,"Сохранить текущее положение, позволив армии самостоятельно решать продовольственные вопросы. Отношения с Даньянской фракцией слегка ухудшатся, но неизменность политики может принести дополнительный доход благодаря инерции решений.",,
下策-增大消费税,下策-增大消费税,Нижняя стратегия - увеличение потребительского налога,,
增大城市人口商业来往的纳税，会增加城市居民生活开销负担，但会让城市获得日均收入上升，所有派系好感小幅度下跌,增大城市人口商业来往的纳税，会增加城市居民生活开销负担，但会让城市获得日均收入上升，所有派系好感小幅度下跌,"Увеличение налога на торговлю и население города повысит ежедневный доход, но увеличит расходы жителей и немного снизит благосклонность всех фракций.",,
上策-精查内患，稳粮缓行,上策-精查内患，稳粮缓行,"Верхняя стратегия - тщательно изучить внутренние угрозы, стабилизировать запасы и действовать неторопливо",,
陈登建议组建由士族领袖主导的秘密调查小组，精准排查徐州内部的奸细。调查重点放在行政和军务人员中，通过士族的情报网络暗中收集线索，避免公开行动惊动奸细。同时，为确保粮草运输安全，暂停部分非紧急粮草调运，集中护送关键物资至徐州核心据点，并由士族控制的本地武装加强押运。粮草分配上，优先供应士族和军队，次要分配给商队和民户，以稳定核心支持力量。,陈登建议组建由士族领袖主导的秘密调查小组，精准排查徐州内部的奸细。调查重点放在行政和军务人员中，通过士族的情报网络暗中收集线索，避免公开行动惊动奸细。同时，为确保粮草运输安全，暂停部分非紧急粮草调运，集中护送关键物资至徐州核心据点，并由士族控制的本地武装加强押运。粮草分配上，优先供应士族和军队，次要分配给商队和民户，以稳定核心支持力量。,"Предлагаю создать тайную следственную группу из лидеров знатных родов для выявления шпионов в Сюйчжоу. Основное внимание — чиновникам и военным, используя клановые сети для сбора информации. Одновременно усилить охрану ключевых поставок продовольствия в стратегические пункты, временно сократив второстепенные перевозки. Распределять запасы в приоритетном порядке: знать и армия, затем купцы и народ — для стабильности. ",,
中策-联查共管，运粮分流,中策-联查共管，运粮分流,Средняя стратегия - совместный контроль и распределение поставок,,
陈登提议由刘备亲自监督，糜竺与士族代表组成联合调查团，共同排查奸细。调查范围覆盖行政、商队和军务，通过商队交易记录和士族情报交叉核查，力求全面但不过激。为保障粮草运输，采取分流策略：主力粮草由正规军护送至核心据点，次要粮草交由商队分散运输，降低整体风险。粮草分配上，军队优先，士族和商队次之，民户最后，以平衡各方需求。,陈登提议由刘备亲自监督，糜竺与士族代表组成联合调查团，共同排查奸细。调查范围覆盖行政、商队和军务，通过商队交易记录和士族情报交叉核查，力求全面但不过激。为保障粮草运输，采取分流策略：主力粮草由正规军护送至核心据点，次要粮草交由商队分散运输，降低整体风险。粮草分配上，军队优先，士族和商队次之，民户最后，以平衡各方需求。,"Чэнь Дэн предложил, чтобы Лю Бэй лично контролировал расследование, а Ми Чжу и представители знати сформировали совместную следственную группу для выявления предателей. Расследование охватит администрацию, торговые караваны и военные дела, используя перекрестную проверку записей торговых операций и информации от знати, чтобы быть всеобъемлющим, но не чрезмерным. Для обеспечения поставок провианта была принята стратегия разделения: основные запасы доставляются регулярными войсками в ключевые пункты, а второстепенные — распределяются между торговыми караванами для снижения общего риска. При распределении провианта приоритет отдается армии, затем знати и торговым караванам, а простые жители получают его в последнюю очередь, чтобы сбалансировать интересы всех сторон.",,
下策-严打内奸，急运全粮,下策-严打内奸，急运全粮,"Нижняя стратегия - Жесткие меры против предателей, срочная переброска всего зерна",,
陈登建议采取强硬措施，由糜竺全面负责，公开严查徐州所有行政、军务和商队人员，设立举报机制，重惩疑似奸细，以震慑袁术势力。为应对粮草需求，集中所有资源加速粮草运输，调动全部军队护送，力求快速补齐徐州各据点物资。粮草分配上，采取平均分配，军队、士族、商队和民户一视同仁，以示公平。,陈登建议采取强硬措施，由糜竺全面负责，公开严查徐州所有行政、军务和商队人员，设立举报机制，重惩疑似奸细，以震慑袁术势力。为应对粮草需求，集中所有资源加速粮草运输，调动全部军队护送，力求快速补齐徐州各据点物资。粮草分配上，采取平均分配，军队、士族、商队和民户一视同仁，以示公平。,"Чэнь Дэн предложил принять жесткие меры: Ми Чжу полностью отвечает за публичную проверку всех административных, военных и торговых кадров Сюйчжоу, создание механизма доносов и суровое наказание подозреваемых в шпионаже, чтобы устранить влияние Юань Шу. Для удовлетворения потребностей в провианте необходимо сосредоточить все ресурсы на ускорении его транспортировки, задействовать все войска для сопровождения и быстро пополнить запасы всех опорных пунктов Сюйчжоу. В распределении провианта следует придерживаться принципа равенства: армия, знать, торговые караваны и простые семьи получают одинаковые доли, демонстрируя справедливость.",,
上策-德政宽徭,上策-德政宽徭,Верхняя стратегия - Добродетельное правление и снижение повинностей,,
中策-仁心济民,中策-仁心济民,Средняя стратегия - Милосердие и забота о народе,,
武将等级（括弧为战斗力）,武将等级（括弧为战斗力）,Уровень генерала (в скобках боевая мощь),,
关羽：lv%d（%d）,关羽：lv%d（%d）,Гуань Юй: lv%d (%d),,
张飞：lv%d（%d）,张飞：lv%d（%d）,Чжан Фэй: lv%d (%d),,
无名,无名,Безымянный,,
无名：lv%d（%d）,无名：lv%d（%d）,Безымянный:lv%d (%d),,
当前派系对你的看法,当前派系对你的看法,Текущее отношение фракции к вам,,
系统提示,系统提示,Системное сообщение,,
刺史大人，您是这座城的主人，可小人这摊子只是小本生意，赚点糊口钱不易。还请大人体谅！,刺史大人，您是这座城的主人，可小人这摊子只是小本生意，赚点糊口钱不易。还请大人体谅！,"Господин начальник округа, вы хозяин этого города, но у меня лишь скромный ларек, и заработать на пропитание непросто. Прошу вашего снисхождения!",,
刺史大人，欢迎光临！感谢您的惠顾，小店蓬荜生辉。期待下次还能为您效劳！,刺史大人，欢迎光临！感谢您的惠顾，小店蓬荜生辉。期待下次还能为您效劳！,"Ваше превосходительство, добро пожаловать! Благодарим за посещение, наш скромный лавка засиял от вашего присутствия. Будем рады снова вам служить!",,
刺史大人，我有意向花钱收购一批你手里的道具，你看意向如何？,刺史大人，我有意向花钱收购一批你手里的道具，你看意向如何？,"Господин начальник округа, я хотел бы приобрести у вас партию предметов. Как вы на это смотрите?",,
同意收购,同意收购,Согласиться на покупку,,
你已成功出售商品，获得{{GameManager.SoldCoin}}钱,你已成功出售商品，获得{{GameManager.SoldCoin}}钱,Вы успешно продали товар и получили {{GameManager.SoldCoin}} монет,,
忠诚,忠诚,Верность,,
友好,友好,Дружелюбие,,
中立,中立,Нейтральный,,
戒备,戒备,Бдительность,,
敌对,敌对,Враждебный,,
你买不起物品,你买不起物品,Вы не можете себе это позволить,,
当前武器你已经持有了，无需再购买,当前武器你已经持有了，无需再购买,"Текущее оружие у вас уже есть, нет необходимости покупать снова.",,
这个饰品你已经持有了，无需再购买,这个饰品你已经持有了，无需再购买,"Этот аксессуар у вас уже есть, не нужно покупать снова.",,
这个秘闻你已经知道了，请改日再来吧,这个秘闻你已经知道了，请改日再来吧,"Вы уже знаете эту тайну, приходите в другой раз.",,
点击商品获取详细信息,点击商品获取详细信息,Нажмите на товар для получения подробной информации,,
当前商品价格:{price},当前商品价格:{price},Текущая цена товара: {price},,
装备,装备,Снаряжение,,
道具,道具,Предметы,,
购买商品,购买商品,Покупка товаров,,
进入序章篇幅-小沛(新玩家推荐),进入序章篇幅-小沛(新玩家推荐),Вступление - Сяопэй (рекомендуется для новых игроков),,
进入正篇篇幅-徐州,进入正篇篇幅-徐州,Вступление в основную часть - Сюйчжоу,,
我再考虑考虑,我再考虑考虑,Я подумаю ещё.,,
刘备夜陷诡梦，梦中陶谦病逝，徐州城头阴云密布，令人心悸。醒来后，他忙于小沛政务，欲将怪梦抛却。不料，徐州快马突至，传来噩耗：陶谦果真亡故！糜竺、陈登联袂而来，奉刘备为徐州之主，于是刘备接下了徐州牧之责，率众前往下邳。新的故事自此拉开帷幕。,刘备夜陷诡梦，梦中陶谦病逝，徐州城头阴云密布，令人心悸。醒来后，他忙于小沛政务，欲将怪梦抛却。不料，徐州快马突至，传来噩耗：陶谦果真亡故！糜竺、陈登联袂而来，奉刘备为徐州之主，于是刘备接下了徐州牧之责，率众前往下邳。新的故事自此拉开帷幕。,"Лю Бэю приснился зловещий сон: смерть Тао Цяня и чёрные тучи над Сюйчжоу. Проснувшись, он погрузился в дела Сяопэя, стараясь забыть этот сон — но гонец из Сюйчжоу принёс весть: Тао Цянь действительно умер! Ми Чжу и Чэнь Дэн прибыли вместе, предложив Лю Бэю стать правителем Сюйчжоу. Приняв титул чжоуму, Лю Бэй с войсками отправился в Сяпи. Так началась новая глава. ",,
不，我要重新进行选择,不，我要重新进行选择,"Нет, я хочу сделать другой выбор",,
已有粮食数量：,已有粮食数量：,Зерно:,,
_disaterPanelDetail,欣然：{happy}（满足大幅度提升支持度）\n认可：{accept}（满足小幅度提升支持度）\n疑虑：{doubt}（满足不降低支持度）\n失望：{sad}(不满足降低好感度),Радость: {happy} (значительно повышает уровень поддержки)\nОдобрение: {accept} (незначительно повышает уровень поддержки)\nСомнение: {doubt} (не снижает уровень поддержки)\nРазочарование: {sad} (снижает уровень благосклонности),,
剩余粮食数：{str}（万吨）,剩余粮食数：{str}批,Остаток продовольствия: {str} парт,,
请选择你赈灾的比例,请选择你赈灾的比例,Выберите процент помощи при бедствии,,
分配不同的粮食数量，让已有粮食数量达到他们的预期,分配不同的粮食数量，让已有粮食数量达到他们的预期,Распределите зерно с учётом ожиданий. ,,
优先满足士族需求，通过公开透明的分配确保公平，提升士族支持度，但需注意士族作为大地主阶层，可能加剧对普通百姓的剥削。,优先满足士族需求，通过公开透明的分配确保公平，提升士族支持度，但需注意士族作为大地主阶层，可能加剧对普通百姓的剥削。,"Уделяйте внимание знатью, но контролируйте её влияние. ",,
优先保障商人集团利益，确保粮食流通和市场稳定，通过控制商路维持价格，但需警惕商人可能哄抬物价，影响百姓民心。,优先保障商人集团利益，确保粮食流通和市场稳定，通过控制商路维持价格，但需警惕商人可能哄抬物价，影响百姓民心。,"Поддержите купцов, но остерегайтесь спекуляций. ",,
优先保障军队需求，确保粮食储备充足、士兵士气高昂，但要警惕军官用于犒劳士卒导致的贪污行为。,优先保障军队需求，确保粮食储备充足、士兵士气高昂，但要警惕军官用于犒劳士卒导致的贪污行为。,"Снабжайте армию, но пресекайте коррупцию. ",,
卖出商品,卖出商品,Продажа товаров,,
今天商人想从你那边收购一些商品...,今天商人想从你那边收购一些商品...,Сегодня торговец хочет купить у вас некоторые товары...,,
主公，您想要召见哪个派系的手下呢？,主公，您想要召见哪个派系的手下呢？,"Господин, кого из подчинённых фракций вы желаете вызвать?",,
资金资助,资金资助,Финансовая поддержка,,
赠送礼物,赠送礼物,Подарить подарок,,
镇压,镇压,Подавление,,
大人，你想对该派系的人做什么呢？,大人，你想对该派系的人做什么呢？,"Господин, что вы хотите сделать с людьми этой фракции?",,
你必须有200钱才能进行一次资金资助,你必须有200钱才能进行一次资金资助,У вас должно быть 200 монет для одного финансового взноса,,
你当前没有礼物，请到商人处购买,你当前没有礼物，请到商人处购买,"У вас сейчас нет подарков, купите их у торговца.",,
主公，贸然镇压一个与我方好感度颇高的派系，或将引发不利后果。轻则人心离散，重则声望受损，招致其他派系联合反制，我建议审慎权衡，先以怀柔之策巩固关系，再行定夺，以免因小失大。,主公，贸然镇压一个与我方好感度颇高的派系，或将引发不利后果。轻则人心离散，重则声望受损，招致其他派系联合反制，我建议审慎权衡，先以怀柔之策巩固关系，再行定夺，以免因小失大。,"Господин, поспешное подавление фракции, с которой у нас хорошие отношения, может привести к неблагоприятным последствиям. В лучшем случае это вызовет разобщённость среди подданных, в худшем — нанесёт урон нашей репутации и спровоцирует объединённое сопротивление других фракций. Я рекомендую тщательно взвесить все за и против: сначала укрепить отношения мирными методами, а затем принимать решение, чтобы не потерять большее из-за малого.",,
你没有必要镇压一个对你没有敌意的派系.,你没有必要镇压一个对你没有敌意的派系.,"Тебе не нужно подавлять фракцию, которая не враждебна к тебе.",,
主公，镇压固然能解决他们可能导致骚乱的因素，但恐埋后患无穷，我建议先施恩惠笼络人心，免生祸端。,主公，镇压固然能解决他们可能导致骚乱的因素，但恐埋后患无穷，我建议先施恩惠笼络人心，免生祸端。,"Господин, хотя подавление может устранить факторы, способные вызвать беспорядки, это чревато бесконечными последствиями. Я предлагаю сначала проявить милость, чтобы завоевать сердца людей и избежать бедствий.",,
镇压{{getFactionByIndex().getTr()}}需要消耗民力{{ForValueGet}}和钱{{ForValueCost}}，你确定用武力镇压么?,镇压{{getFactionByIndex().getTr()}}需要消耗民力{{ForValueGet}}和钱{{ForValueCost}}，你确定用武力镇压么?,"Для подавления {{getFactionByIndex().getTr()}} потребуется {{ForValueGet}} рабочих единиц и {{ForValueCost}} монет. Вы уверены, что хотите применить силу?",,
陶谦,陶谦,Тао Цянь,,
尸皇-“陶谦”,尸皇-“陶谦”,"Зомби-император - ""Тао Цянь""",,
"""陶谦""","""陶谦""","""Тао Цянь""",,
征讨次数：{currence}/{target},征讨次数：{currence}/{target},Количество походов: {currence}/{target} ,,
陶商,陶商,Тао Шан,,
陶应,陶应,Тао Ин,,
陶商/陶应,陶商/陶应,Тао Шан/Тао Ин,,
张阎,张阎,Чжан Янь,,
好感度:{s},好感度:{s},Связь:{s},,
主公，三战连败，百姓对连番失利颇有微词。,主公，三战连败，百姓对连番失利颇有微词。,"Господин, три поражения подряд, народ недоволен чередой неудач.",,
主公，此番败北，百姓已生不满之情。,主公，此番败北，百姓已生不满之情。,"Господин, после этого поражения народ уже выражает недовольство.",,
士兵,士兵,Солдат,,
士人甲,士人甲,Учёный А,,
士人乙,士人乙,Учёный Б,,
使者,使者,Посланник,,
道具加持+40%,道具加持+40%,Усиление предметов +40%,,
青龙偃月刀+8%,青龙偃月刀+8%,Глефа Цинлун +8%,,
丈八蛇矛+6%,丈八蛇矛+6%,Копьё Чжан Фэй +6%,,
龙胆亮银枪+10%,龙胆亮银枪+10%,Драконья отвага и серебряное копьё +10%,,
雌雄双股剑+1%,雌雄双股剑+1%,Парные мечи супругов +1%,,
商人,商人,Торговец,,
当前商人没有需要从你手中收购商品的需要，请改日再来！,当前商人没有需要从你手中收购商品的需要，请改日再来！,"В настоящее время торговцу не нужны ваши товары. Пожалуйста, вернитесь позже! ",,
无数据,无数据,Нет данных,,
自动存档开启,自动存档开启,Автосохранение включено,,
已开启自动存档功能，游戏会在重要剧情节点自动保存进度。若存档位已满，将自动覆盖最早的存档。如需关闭此功能，可按Esc或点击右上角头像进入设置调整。,已开启自动存档功能，游戏会在重要剧情节点自动保存进度。若存档位已满，将自动覆盖最早的存档。如需关闭此功能，可按Esc或点击右上角头像进入设置调整。,"Функция автоматического сохранения включена. Игра будет автоматически сохранять прогресс на ключевых моментах сюжета. Если слоты сохранений заполнены, самое раннее сохранение будет перезаписано. Чтобы отключить эту функцию, нажмите Esc и измените настройки.",,
"【试玩版体验结束】
感谢您的参与！","【试玩版体验结束】
感谢您的参与！","[Демо-версия завершена]
Спасибо за участие!",,
"【试玩版体验结束】
感谢您的参与！
存档可继承至正式版
敬请期待完整内容发布！","【试玩版体验结束】
感谢您的参与！
存档可继承至正式版
敬请期待完整内容发布！","[Демо-версия завершена]
Спасибо за участие!
Сохранения будут доступны в полной версии
Ждите выхода полной версии!",,
自动存档中.,自动存档中.,Автосохранение...,,
自动存档中..,自动存档中..,Автосохранение...,,
自动存档中...,自动存档中...,Автосохранение...,,
当前位置已经存在存档，你确定在当前位置存档么?,当前位置已经存在存档，你确定在当前位置存档么?,"В этом месте уже есть сохранение. Вы уверены, что хотите сохранить здесь?",,
确定存档,确定存档,Сохранить игру,,
取消存档,取消存档,Отменить сохранение,,
士赈模式,士赈模式,помощи от чиновников,,
商赈模式,商赈模式,торговой помощи,,
军赈模式,军赈模式,военных поставок,,
分配数量：0,分配数量：0,Количество распределения: 0,,
[胜/负/合],[胜/负/合],[Поб/Пор/Всего],,
刺史大人，随便挑随便选，我这儿的货都是徐州顶好的！,刺史大人，随便挑随便选，我这儿的货都是徐州顶好的！,"Господин начальник округа, выбирайте на здоровье! У меня здесь лучшие товары во всей Сюйчжоу!",,
你已成功从{{getFactionByIndex().getTr()}}手中获取资金{{ForValueGet}}，消耗{{ForValueCost}}点好感度,你已成功从{{getFactionByIndex().getTr()}}手中获取资金{{ForValueGet}}，消耗{{ForValueCost}}点好感度,"Вы успешно получили средства {{ForValueGet}} от {{getFactionByIndex().getTr()}}, потратив {{ForValueCost}} очков благосклонности",,
成功赠送礼物，{{getFactionByIndex().getTr()}}好感度上升{{(15+GameManager.extraValue)}},成功赠送礼物，{{getFactionByIndex().getTr()}}好感度上升{{(15+GameManager.extraValue)}},"Успешно отправлен подарок, благосклонность {{getFactionByIndex().getTr()}} повысилась на {{(15+GameManager.extraValue)}}",,
成功{{getFactionByIndex().getTr()}}，其对主公您望而生畏，暂时臣服。然而，暴力镇压引发该派系持续不满，好感度每秒下降，恐埋后患。建议通过怀柔策略化解怨恨，满足特定条件后可解除不满，恢复派系关系。,成功{{getFactionByIndex().getTr()}}，其对主公您望而生畏，暂时臣服。然而，暴力镇压引发该派系持续不满，好感度每秒下降，恐埋后患。建议通过怀柔策略化解怨恨，满足特定条件后可解除不满，恢复派系关系。,"Успех! {{getFactionByIndex().getTr()}} трепещет перед Вами и временно подчинился. Однако насильственное подавление вызывает постоянное недовольство этой фракции, и благосклонность снижается каждую секунду, что может привести к последствиям. Рекомендуется смягчить недовольство мирными методами. При выполнении определённых условий можно снять недовольство и восстановить отношения с фракцией.",,
赠送资金已顺利完成！{{getFactionByIndex().getTr()}}在你的慷慨支持下，人数激增{{20+GameManager.sav.randomIndex}}人，当前总人数为{{getFactionByIndex()._num_all}}。你的投入让{{getFactionByIndex().getTr()}}势力如虎添翼！,赠送资金已顺利完成！{{getFactionByIndex().getTr()}}在你的慷慨支持下，人数激增{{20+GameManager.sav.randomIndex}}人，当前总人数为{{getFactionByIndex()._num_all}}。你的投入让{{getFactionByIndex().getTr()}}势力如虎添翼！,"Перевод средств успешно завершен! Благодаря вашей щедрой поддержке, численность {{getFactionByIndex().getTr()}} увеличилась на {{20+GameManager.sav.randomIndex}} человек, а текущая общая численность составляет {{getFactionByIndex()._num_all}}. Ваш вклад сделал силы {{getFactionByIndex().getTr()}} еще сильнее!",,
赠送资金已顺利完成！{{getFactionByIndex().getTr()}}在你的支持下已达到上限100人。,赠送资金已顺利完成！{{getFactionByIndex().getTr()}}在你的支持下已达到上限100人。,Подарочные средства успешно отправлены! {{getFactionByIndex().getTr()}} при вашей поддержке достигли максимума в 100 человек.,,
该选项可提升派系人数（最多100人），增强议事厅辩论优势。索取资源会更多但支持度消耗更大。,该选项可提升派系人数（最多100人），增强议事厅辩论优势。索取资源会更多但支持度消耗更大。,"Этот параметр увеличивает численность фракции (максимум 100 человек), усиливая преимущества в дебатах в Совете. Требование ресурсов будет больше, но и расход поддержки возрастёт.",,
